"DateTime";"PH Suelo PH"
"2023-04-03 03:46:57";2,75
"2023-04-03 04:06:57";2,75
"2023-04-03 04:26:56";2,75
"2023-04-03 04:46:57";2,75
"2023-04-03 05:06:57";2,75
"2023-04-03 05:26:57";2,75
"2023-04-03 05:46:57";2,75
"2023-04-03 06:06:57";2,76
"2023-04-03 06:26:57";2,76
"2023-04-03 06:46:57";2,76
"2023-04-03 07:06:57";2,76
"2023-04-03 07:26:57";2,76
"2023-04-03 07:46:56";2,76
"2023-04-03 08:06:56";2,76
"2023-04-03 08:26:57";2,76
"2023-04-03 08:46:56";2,76
"2023-04-03 09:06:56";2,76
"2023-04-03 09:26:56";2,76
"2023-04-03 09:46:56";2,76
"2023-04-03 10:06:56";2,75
"2023-04-03 10:26:56";2,75
"2023-04-03 10:46:56";2,75
"2023-04-03 11:06:56";2,74
"2023-04-03 11:26:55";2,74
"2023-04-03 11:46:56";2,73
"2023-04-03 12:06:55";2,73
"2023-04-03 12:26:56";2,72
"2023-04-03 12:46:56";2,71
"2023-04-03 13:06:56";2,7
"2023-04-03 13:26:56";2,7
"2023-04-03 13:46:56";2,69
"2023-04-03 14:06:55";2,68
"2023-04-03 14:26:56";2,67
"2023-04-03 14:46:56";2,66
"2023-04-03 15:06:56";2,65
"2023-04-03 15:26:56";2,65
"2023-04-03 15:46:56";2,64
"2023-04-03 16:06:56";2,64
"2023-04-03 16:26:56";2,63
"2023-04-03 16:46:56";2,63
"2023-04-03 17:06:56";2,62
"2023-04-03 17:46:55";2,62
"2023-04-03 18:06:55";2,62
"2023-04-03 18:26:55";2,62
"2023-04-03 18:46:55";2,63
"2023-04-03 19:06:55";2,63
"2023-04-03 19:26:55";2,63
"2023-04-03 19:46:54";2,64
"2023-04-03 20:06:55";2,64
"2023-04-03 20:26:55";2,64
"2023-04-03 20:46:54";2,65
"2023-04-03 21:06:55";2,65
"2023-04-03 21:26:54";2,65
"2023-04-03 21:46:55";2,66
"2023-04-03 22:26:55";2,67
"2023-04-03 22:46:55";2,67
"2023-04-03 23:06:55";2,67
"2023-04-03 23:26:54";2,68
"2023-04-03 23:46:55";2,68
"2023-04-04 00:06:54";2,69
"2023-04-04 00:26:55";2,69
"2023-04-04 00:46:55";2,69
"2023-04-04 01:06:55";2,7
"2023-04-04 01:26:55";2,7
"2023-04-04 01:46:55";2,7
"2023-04-04 02:26:54";2,71
"2023-04-04 02:46:54";2,71
"2023-04-04 03:06:54";2,71
"2023-04-04 03:26:54";2,71
"2023-04-04 03:46:54";2,71
"2023-04-04 04:06:54";2,72
"2023-04-04 04:26:54";2,72
"2023-04-04 04:46:54";2,72
"2023-04-04 05:06:54";2,72
"2023-04-04 05:26:54";2,73
"2023-04-04 05:46:54";2,73
"2023-04-04 06:06:54";2,73
"2023-04-04 06:26:54";2,73
"2023-04-04 06:46:54";2,73
"2023-04-04 07:06:53";2,74
"2023-04-04 07:26:54";2,74
"2023-04-04 07:46:54";2,74
"2023-04-04 08:06:54";2,74
"2023-04-04 08:26:54";2,74
"2023-04-04 08:46:54";2,74
"2023-04-04 09:06:54";2,74
"2023-04-04 09:26:53";2,74
"2023-04-04 09:46:54";2,73
"2023-04-04 10:06:54";2,73
"2023-04-04 10:26:54";2,73
"2023-04-04 10:46:53";2,73
"2023-04-04 11:06:53";2,73
"2023-04-04 11:26:53";2,72
"2023-04-04 11:46:53";2,72
"2023-04-04 12:06:53";2,72
"2023-04-04 12:26:53";2,72
"2023-04-04 12:46:53";2,71
"2023-04-04 13:06:53";2,71
"2023-04-04 13:26:53";2,7
"2023-04-04 13:46:53";2,7
"2023-04-04 14:06:53";2,7
"2023-04-04 14:26:53";2,69
"2023-04-04 14:46:53";2,69
"2023-04-04 15:06:53";2,68
"2023-04-04 15:26:52";2,68
"2023-04-04 15:46:52";2,68
"2023-04-04 16:06:53";2,67
"2023-04-04 16:26:53";2,67
"2023-04-04 16:46:53";2,67
"2023-04-04 17:06:53";2,67
"2023-04-04 17:26:53";2,67
"2023-04-04 17:46:53";2,67
"2023-04-04 18:06:53";2,67
"2023-04-04 18:26:53";2,67
"2023-04-04 18:46:53";2,67
"2023-04-04 19:06:53";2,67
"2023-04-04 19:26:52";2,67
"2023-04-04 19:46:52";2,67
"2023-04-04 20:06:52";2,67
"2023-04-04 20:26:52";2,67
"2023-04-04 20:46:52";2,67
"2023-04-04 21:06:52";2,67
"2023-04-04 21:26:51";2,67
"2023-04-04 21:46:52";2,67
"2023-04-04 22:06:52";2,68
"2023-04-04 22:26:52";2,68
"2023-04-04 22:46:52";2,68
"2023-04-04 23:06:52";2,68
"2023-04-04 23:26:52";2,68
"2023-04-04 23:46:52";2,68
"2023-04-05 00:06:52";2,68
"2023-04-05 00:26:52";2,69
"2023-04-05 00:46:51";2,69
"2023-04-05 01:06:52";2,69
"2023-04-05 01:26:52";2,69
"2023-04-05 01:46:52";2,69
"2023-04-05 02:06:52";2,69
"2023-04-05 02:26:52";2,69
"2023-04-05 02:46:52";2,7
"2023-04-05 03:06:52";2,7
"2023-04-05 03:26:51";2,7
"2023-04-05 03:46:51";2,7
"2023-04-05 04:06:51";2,7
"2023-04-05 04:26:51";2,7
"2023-04-05 04:46:51";2,7
"2023-04-05 05:06:51";2,71
"2023-04-05 05:26:51";2,71
"2023-04-05 05:46:51";2,71
"2023-04-05 06:06:51";2,71
"2023-04-05 06:26:51";2,71
"2023-04-05 06:46:51";2,71
"2023-04-05 07:06:51";2,71
"2023-04-05 07:26:50";2,72
"2023-04-05 07:46:50";2,72
"2023-04-05 08:06:50";2,72
"2023-04-05 08:26:50";2,72
"2023-04-05 08:46:51";2,72
"2023-04-05 09:06:51";2,72
"2023-04-05 09:26:51";2,72
"2023-04-05 09:46:51";2,72
"2023-04-05 10:06:51";2,72
"2023-04-05 10:26:50";2,71
"2023-04-05 10:46:51";2,71
"2023-04-05 11:06:51";2,71
"2023-04-05 11:26:51";2,71
"2023-04-05 11:46:51";2,71
"2023-04-05 12:06:51";2,71
"2023-04-05 12:26:51";2,7
"2023-04-05 12:46:50";2,7
"2023-04-05 13:06:50";2,7
"2023-04-05 13:26:50";2,69
"2023-04-05 13:46:50";2,69
"2023-04-05 14:06:50";2,69
"2023-04-05 14:26:50";2,68
"2023-04-05 14:46:50";2,68
"2023-04-05 15:06:50";2,68
"2023-04-05 15:26:50";2,67
"2023-04-05 15:46:50";2,67
"2023-04-05 16:06:50";2,67
"2023-04-05 16:26:49";2,67
"2023-04-05 16:46:50";2,66
"2023-04-05 17:06:49";2,66
"2023-04-05 17:26:50";2,66
"2023-04-05 17:46:50";2,66
"2023-04-05 18:06:49";2,66
"2023-04-05 18:26:50";2,66
"2023-04-05 18:46:50";2,66
"2023-04-05 19:06:49";2,66
"2023-04-05 19:26:50";2,66
"2023-04-05 19:46:50";2,66
"2023-04-05 20:06:49";2,66
"2023-04-05 20:26:50";2,66
"2023-04-05 20:46:49";2,66
