"DateTime";"Humedad Suelo %"
"2023-04-03 08:13:52";9,85
"2023-04-03 08:33:51";9,85
"2023-04-03 08:53:52";9,85
"2023-04-03 09:13:51";9,85
"2023-04-03 09:33:52";9,85
"2023-04-03 09:53:52";9,85
"2023-04-03 10:13:51";9,85
"2023-04-03 10:33:52";9,85
"2023-04-03 10:53:52";9,85
"2023-04-03 11:13:52";9,85
"2023-04-03 11:33:51";9,85
"2023-04-03 12:33:52";9,84
"2023-04-03 12:53:52";9,84
"2023-04-03 13:13:52";9,84
"2023-04-03 13:33:52";9,84
"2023-04-03 13:53:52";9,84
"2023-04-03 14:13:52";9,84
"2023-04-03 14:33:51";9,84
"2023-04-03 14:53:52";9,84
"2023-04-03 15:13:52";9,85
"2023-04-03 15:33:52";9,87
"2023-04-03 16:13:52";9,89
"2023-04-03 16:33:52";9,9
"2023-04-03 16:53:51";9,91
"2023-04-03 17:13:52";9,9
"2023-04-03 17:33:52";9,92
"2023-04-03 17:53:51";9,9
"2023-04-03 18:13:52";9,9
"2023-04-03 18:33:52";9,89
"2023-04-03 18:53:51";9,88
"2023-04-03 19:13:52";9,87
"2023-04-03 19:33:52";9,86
"2023-04-03 19:53:52";9,85
"2023-04-03 20:13:52";9,84
"2023-04-03 20:33:52";9,83
"2023-04-03 20:53:52";9,82
"2023-04-03 21:13:51";9,81
"2023-04-03 21:53:51";9,8
"2023-04-03 22:13:52";9,8
"2023-04-03 22:33:52";9,79
"2023-04-03 22:53:51";9,8
"2023-04-03 23:13:52";9,8
"2023-04-03 23:33:51";9,8
"2023-04-03 23:53:52";9,8
"2023-04-04 00:13:52";9,79
"2023-04-04 00:33:52";9,79
"2023-04-04 00:53:51";9,79
"2023-04-04 01:13:52";9,78
"2023-04-04 01:33:52";9,78
"2023-04-04 01:53:52";9,77
"2023-04-04 02:13:52";9,77
"2023-04-04 02:33:52";9,76
"2023-04-04 02:53:52";9,75
"2023-04-04 03:13:52";9,74
"2023-04-04 03:33:51";9,73
"2023-04-04 03:53:52";9,72
"2023-04-04 04:33:52";9,7
"2023-04-04 04:53:52";9,69
"2023-04-04 05:33:52";9,67
"2023-04-04 05:53:52";9,66
"2023-04-04 06:33:52";9,65
"2023-04-04 06:53:52";9,65
"2023-04-04 07:13:52";9,64
"2023-04-04 07:33:52";9,64
"2023-04-04 07:53:51";9,64
"2023-04-04 08:13:52";9,64
"2023-04-04 08:33:52";9,63
"2023-04-04 08:53:52";9,63
"2023-04-04 09:13:52";9,63
"2023-04-04 09:33:52";9,63
"2023-04-04 09:53:52";9,63
"2023-04-04 10:13:52";9,63
"2023-04-04 10:33:52";9,63
"2023-04-04 10:53:52";9,63
"2023-04-04 11:13:52";9,63
"2023-04-04 11:53:52";9,6
"2023-04-04 12:13:51";9,59
"2023-04-04 12:33:51";9,59
"2023-04-04 12:53:52";9,58
"2023-04-04 13:13:52";9,58
"2023-04-04 13:33:52";9,57
"2023-04-04 14:13:52";9,57
"2023-04-04 14:53:51";9,57
"2023-04-04 15:13:51";9,57
"2023-04-04 15:33:52";9,57
"2023-04-04 15:53:52";9,57
"2023-04-04 16:13:52";9,57
"2023-04-04 16:33:51";9,5
"2023-04-04 16:53:52";9,51
"2023-04-04 17:13:52";9,51
"2023-04-04 17:33:52";9,51
"2023-04-04 17:53:52";9,51
"2023-04-04 18:13:52";9,5
"2023-04-04 18:33:52";9,5
"2023-04-04 18:53:51";9,5
"2023-04-04 19:13:52";9,5
"2023-04-04 19:33:52";9,5
"2023-04-04 19:53:52";9,5
"2023-04-04 20:13:51";9,49
"2023-04-04 20:33:52";9,48
"2023-04-04 20:53:51";9,48
"2023-04-04 21:13:51";9,48
"2023-04-04 21:33:51";9,47
"2023-04-04 21:53:52";9,46
"2023-04-04 22:13:52";9,46
"2023-04-04 22:33:52";9,45
"2023-04-04 22:53:52";9,44
"2023-04-04 23:13:52";9,44
"2023-04-04 23:33:52";9,43
"2023-04-04 23:53:52";9,42
"2023-04-05 00:13:51";9,42
"2023-04-05 00:33:52";9,42
"2023-04-05 00:53:52";9,41
"2023-04-05 01:13:52";9,41
"2023-04-05 01:33:52";9,41
"2023-04-05 01:53:52";9,41
"2023-04-05 02:13:51";9,4
"2023-04-05 02:33:52";9,4
"2023-04-05 02:53:52";9,4
"2023-04-05 03:13:52";9,4
"2023-04-05 03:33:52";9,4
"2023-04-05 03:53:51";9,39
"2023-04-05 04:13:52";9,4
"2023-04-05 04:33:52";9,39
"2023-04-05 04:53:52";9,39
"2023-04-05 05:13:52";9,39
"2023-04-05 05:33:52";9,39
"2023-04-05 05:53:52";9,39
"2023-04-05 06:13:52";9,38
"2023-04-05 06:33:52";9,38
"2023-04-05 06:53:52";9,38
"2023-04-05 07:13:51";9,37
"2023-04-05 07:33:51";9,36
"2023-04-05 07:53:52";9,36
"2023-04-05 08:13:52";9,35
"2023-04-05 08:33:52";9,34
"2023-04-05 08:53:52";9,33
"2023-04-05 09:13:52";9,32
"2023-04-05 09:33:52";9,3
"2023-04-05 10:13:52";9,29
"2023-04-05 10:33:52";9,29
"2023-04-05 10:53:52";9,27
"2023-04-05 11:13:52";9,26
"2023-04-05 11:33:52";9,25
"2023-04-05 11:53:52";9,25
"2023-04-05 12:13:52";9,24
"2023-04-05 12:33:52";9,22
"2023-04-05 12:53:52";9,23
"2023-04-05 13:13:51";9,22
"2023-04-05 13:33:52";9,22
"2023-04-05 13:53:52";9,22
"2023-04-05 14:13:52";9,21
"2023-04-05 14:33:52";9,21
"2023-04-05 14:53:52";9,21
"2023-04-05 15:13:52";9,21
"2023-04-05 15:33:52";9,21
"2023-04-05 15:53:52";9,21
"2023-04-05 16:13:52";9,19
"2023-04-05 16:33:52";9,2
"2023-04-05 16:53:52";9,2
"2023-04-05 17:13:52";9,21
"2023-04-05 17:33:52";9,21
"2023-04-05 17:53:52";9,21
"2023-04-05 18:13:52";9,2
"2023-04-05 18:33:52";9,2
"2023-04-05 18:53:52";9,19
"2023-04-05 19:13:52";9,19
"2023-04-05 19:33:51";9,19
"2023-04-05 19:53:52";9,19
"2023-04-05 20:13:52";9,19
"2023-04-05 20:33:52";9,19
"2023-04-05 20:53:52";9,18
"2023-04-05 21:13:52";9,18
"2023-04-05 21:33:52";9,18
"2023-04-05 21:53:52";9,18
"2023-04-05 22:13:52";9,18
"2023-04-05 22:33:52";9,18
"2023-04-05 22:53:52";9,17
"2023-04-05 23:13:52";9,17
"2023-04-05 23:33:51";9,17
"2023-04-05 23:53:52";9,17
"2023-04-06 00:13:52";9,17
"2023-04-06 00:33:51";9,16
"2023-04-06 00:53:52";9,16
"2023-04-06 01:13:51";9,15
"2023-04-06 01:33:52";9,15
"2023-04-06 01:53:52";9,14
"2023-04-06 02:13:52";9,14
"2023-04-06 02:33:51";9,13
"2023-04-06 02:53:52";9,13
"2023-04-06 03:13:52";9,12
"2023-04-06 03:33:51";9,11
"2023-04-06 03:53:52";9,09
"2023-04-06 04:13:52";9,08
"2023-04-06 04:33:52";9,07
"2023-04-06 04:53:52";9,06
"2023-04-06 05:13:52";9,05
"2023-04-06 05:33:52";9,05
"2023-04-06 05:53:52";9,03
"2023-04-06 06:13:52";9,02
"2023-04-06 06:33:52";9,02
"2023-04-06 06:53:52";9,01
"2023-04-06 07:13:52";9,01
"2023-04-06 07:53:52";8,99
"2023-04-06 08:13:52";8,99
"2023-04-06 08:33:52";8,99
"2023-04-06 08:53:52";8,99
"2023-04-06 09:13:52";8,99
"2023-04-06 09:33:52";8,99
"2023-04-06 09:53:52";8,99
"2023-04-06 10:13:52";8,99
"2023-04-06 10:53:52";8,98
"2023-04-06 11:13:52";8,98
"2023-04-06 11:33:52";8,97
"2023-04-06 11:53:52";8,97
"2023-04-06 12:13:52";8,96
"2023-04-06 12:33:52";8,95
"2023-04-06 12:53:52";8,95
"2023-04-06 13:13:51";8,95
"2023-04-06 13:33:52";8,93
"2023-04-06 13:53:52";8,92
"2023-04-06 14:13:52";8,92
"2023-04-06 14:33:52";8,92
"2023-04-06 14:53:52";8,91
"2023-04-06 15:13:52";8,87
"2023-04-06 15:33:52";8,88
"2023-04-06 15:53:52";8,87
"2023-04-06 16:13:52";8,87
"2023-04-06 16:33:52";8,88
"2023-04-06 16:53:52";8,88
"2023-04-06 17:13:52";8,86
"2023-04-06 17:33:52";8,87
"2023-04-06 17:53:52";8,86
"2023-04-06 18:13:52";8,86
"2023-04-06 18:33:52";8,85
